ID,Trial_Number,Keyboard_Type,Repetition_Order,WPM,WER
4,16,B,5,78.03107856,0.002258674
9,86,C,4,81.04026787,0.001085636
3,29,C,4,65.11986414,0
5,21,B,5,53.82717535,0.005060486
10,70,C,4,64.58480961,0.006290512
9,95,B,2,33.95734273,0.001479244
1,55,B,5,69.68199025,0.001967164
10,20,C,5,66.62391787,0.003730918
8,81,B,5,57.73085419,0.005565219
10,46,C,3,40.45001181,0
8,22,B,5,62.99217699,0.009503619
3,98,C,1,13.19223293,0.002910329
8,51,A,2,58.66216807,0
6,30,C,4,106.1603409,0
4,96,A,3,80.65985704,0.008458917
1,61,C,5,49.35592412,0.011959355
10,47,B,2,36.35301527,0
6,40,C,3,103.924413,0
5,73,B,2,54.97404865,0
6,14,A,4,95.93200145,0
2,85,A,1,12.8989001,0.000949146
10,62,B,2,48.45203883,0
6,99,A,5,67.78768782,0
3,82,C,3,71.82784941,0
1,55,C,2,90.33965834,0.004716129
1,44,A,4,65.88107502,0.000149359
4,45,A,2,90.75604188,0.003662157
1,45,A,5,65.55870059,0.006164144
2,36,B,4,45.42105612,0.003022177
7,55,A,5,51.4247668,0
2,34,C,3,70.80388014,0.000174511
3,76,B,5,42.36177752,0.009505909
10,87,B,1,13.62229414,0
1,71,C,2,55.20672605,0.01740876
10,22,A,5,32.72938749,0
3,28,C,4,49.39128604,0.010636373
6,24,C,3,74.7223392,0.004021482
4,72,C,2,70.67219337,0
10,67,C,3,54.65381591,0
8,72,A,4,45.85585926,0.006700888
2,26,A,3,36.55573983,0
3,90,A,2,71.64644296,0.00493867
4,69,A,5,77.82814584,0
7,14,C,5,38.2385135,0
3,33,C,5,73.68965637,0.002203336
7,83,A,4,72.5396756,0
5,90,A,3,69.8268119,0
7,83,B,1,12.96266778,0
10,67,C,4,60.38179999,0.006999048
9,40,A,5,108.4318111,0
3,56,B,3,64.99257683,0
2,90,B,4,69.99160272,0
1,87,B,5,70.46001229,0.003441227
6,28,C,2,53.62279579,0
2,34,B,3,84.27194578,0.004262894
10,6,C,4,61.26560916,0.002836935
10,13,A,2,42.93044937,0.004736317
4,91,A,4,60.015778,0.001008579
7,37,A,3,42.42796329,0.007084852
1,40,A,4,54.51660807,0
4,14,A,1,20.0753396,0
7,74,B,5,81.18661508,0.002175858
4,58,B,4,59.29411341,0.003723118
10,93,A,3,55.99570295,0
3,72,C,5,63.68378894,0
8,31,C,3,73.90303649,0
7,18,B,2,59.5620632,0
4,69,B,4,81.0176066,0
8,58,B,2,78.66709421,0
7,63,A,5,44.73418418,0
9,31,B,4,66.44986997,0.003944278
4,16,C,1,21.08097137,0.001773334
1,46,A,3,62.21322689,0.009300181
4,89,B,2,71.94303042,0.005285343
8,25,A,5,56.54854559,0
10,65,A,4,74.65536739,0.004921402
6,10,B,1,16.43065527,0
10,61,B,1,11.1619115,0.005194059
1,4,A,5,45.86670281,0
2,24,C,4,75.97188605,0
6,92,A,5,84.53287727,0.002724449
10,75,B,4,78.40912431,0
10,97,B,5,66.97183904,0.007329567
5,29,A,3,49.90387393,0
8,50,B,3,64.51909588,0.011098254
2,19,B,4,51.63664104,0.009750972
7,86,B,1,13.30932194,0.005257683
1,6,B,3,67.70275346,0
5,90,C,4,78.30099348,0.013267043
2,41,A,2,57.0803107,0.00296636
5,23,A,5,65.23564327,0
10,50,A,5,37.42990091,0.006302103
8,44,B,4,60.13215027,0
4,8,A,4,93.44372098,0.004584156
10,17,C,5,82.24380718,0
3,55,B,2,55.96871886,0
1,64,A,4,85.01460643,0.006202401
1,28,A,2,44.2617518,0
2,68,B,3,64.94973823,0.006049691
7,75,C,2,110.0487817,0
9,89,B,5,81.00061616,0
7,82,C,1,15.6282929,0
2,77,B,5,90.11078523,0.011247153
1,29,C,5,74.58167666,0
8,13,B,3,76.09000361,0
6,38,B,5,83.83054221,0.000911985
2,14,B,2,71.02023431,0.007365998
8,76,B,5,73.6846472,0.007000219
3,87,B,4,41.09399207,0
6,67,A,5,102.5038023,0
8,6,B,5,79.30178752,0
7,91,B,1,28.59143376,0.007190216
7,7,C,1,15.58119398,0
2,65,A,2,53.13050525,0.005039851
6,50,B,2,64.67721572,0
8,26,A,4,62.46105386,0
5,32,C,3,50.89215093,0.003025877
8,44,A,5,57.36570144,0.011412759
1,79,A,5,55.82883234,0
8,96,C,4,59.38633879,0
10,77,A,2,61.45954835,0.005026506
1,7,A,4,51.40971486,0
8,51,C,3,73.33290912,0
3,91,A,5,51.94787189,0
10,34,C,4,71.9884062,0.003072493
8,2,B,4,61.31047397,0
7,41,A,5,39.64643585,0.007304942
1,14,C,4,61.57244561,0.000134675
8,44,A,4,61.46682645,0.000697948
3,26,B,4,63.89161224,0.004854131
4,28,C,2,77.03597486,0.001292879
2,14,B,4,84.58685814,0.013940241
7,32,C,5,52.12470203,0
8,32,A,5,70.01752822,0.001487476
5,68,A,5,59.22887941,0.002482073
7,1,C,5,59.12997658,0.003086074
9,5,A,4,109.8657254,0
2,67,B,2,62.54367319,0
7,20,B,4,54.38415396,0.000539554
3,8,A,1,13.96354071,0
6,93,A,3,80.99993575,0.004927087
3,31,C,5,64.25467927,0.004082733
1,91,B,2,58.07546184,0.002274058
1,97,C,2,60.70247806,0.005314411
7,57,B,3,48.94304237,0
1,36,A,4,87.62800796,0
10,7,A,4,63.68072633,0
1,78,C,2,59.8111366,0
9,52,A,4,79.2718292,0
9,18,C,3,73.78482636,0
5,85,A,3,76.65836804,0
4,85,C,4,100.932852,0.011697462
2,65,B,3,86.86131857,0.003162433
5,29,C,4,41.34123652,0
3,37,B,1,18.43697921,0.000675701
7,93,C,5,90.51724856,0
3,97,A,1,15.26571711,0.008050799
4,3,C,4,96.81986926,0
6,65,B,2,72.12381422,0
5,16,B,5,22.60853236,0.004470163
3,41,A,1,17.79611637,0
8,49,B,5,71.68195889,0.003799594
6,78,B,1,15.92683609,0
10,56,A,5,41.48150788,0.003748345
8,34,B,2,78.57349518,0
4,14,A,5,105.5596806,0.003104802
10,56,C,2,24.53390068,0.020038036
10,87,B,5,35.43368666,0
2,17,B,1,14.05313226,0.00536005
6,65,C,4,16.01640707,0.002209107
5,19,A,2,86.37137226,0.003271226
8,30,A,4,60.7152541,0.012464428
5,51,B,4,67.12899587,0
1,2,A,5,42.31137166,0
10,51,A,4,65.40781359,0
7,72,B,3,32.18510742,0
8,77,B,4,78.49624546,6.59E-05
5,64,C,4,89.82236332,0
9,68,A,1,8.854117406,0.006415723
4,40,B,4,38.95793775,0
8,92,B,5,91.29506843,0.005708381
5,24,A,5,39.26963281,0.001048133
10,20,B,3,59.92255207,0
8,21,B,3,71.19766612,0.00369847
6,55,C,4,92.24951062,0.003825285
7,27,B,3,47.78429205,0
5,37,A,5,38.83300045,0.01112362
6,13,B,2,66.97797006,0.000305795
10,23,A,3,73.05937206,0.000270467
8,58,A,4,62.74983512,0.002043829
10,90,B,4,61.18112473,0.010838184
7,31,A,3,13.33066275,0
7,9,C,5,65.57942675,0
3,12,C,4,58.72500781,0.002168583
10,52,A,1,13.66641739,0
5,98,B,5,28.37361679,0.004096657
2,86,C,3,69.24866643,0.001956286
2,53,A,5,62.41522346,0
2,60,A,4,79.88894072,0
10,43,B,3,74.27474716,0
6,73,B,3,63.58626782,0.010267713
2,96,A,2,35.62783328,0.009466184
7,88,C,2,71.06587782,0.009003763
6,93,A,1,13.81656341,0
1,16,B,3,37.41106356,0
6,25,C,2,65.41745508,0
4,3,A,4,109.8245346,0
10,46,B,5,30.56973422,0
7,76,C,2,33.36059974,0
9,90,B,3,92.08423483,0
1,98,A,5,51.10599323,0.006890587
1,52,A,5,56.98090168,0
3,74,C,1,14.01893136,0.006827347
10,91,A,3,55.84124839,0
8,55,B,4,72.18709476,0.002958105
6,5,A,1,11.55690312,0
10,84,C,5,57.1145731,0.005415107
6,69,A,4,63.32290471,0
9,3,C,1,17.40825783,0.011069678
4,88,B,5,80.99238492,0
8,96,B,4,64.02329207,0
2,64,B,3,88.13445555,0
1,85,A,3,88.04425939,0.009257855
9,99,B,3,97.68220428,0
3,67,A,3,56.59641397,0
7,16,C,2,30.25342251,0.002582756
6,49,A,4,98.54706388,0.003235136
10,61,C,2,62.04888625,0.000375417
8,16,C,4,57.59382151,0.333360803
1,5,B,3,67.02508491,0
3,7,A,4,72.97646999,0
1,73,C,5,55.1576176,0
4,4,B,1,21.94555114,0.003493576
3,55,B,5,50.95385618,0.004042098
1,38,A,3,48.70603,0.009375473
9,41,B,5,120.9118187,0.003897083
9,7,C,5,82.88049876,0.008379495
9,90,A,3,97.65887429,0
3,87,B,1,13.09567972,0.01511861
3,22,C,4,59.9513284,0.005814985
1,21,A,3,51.41197046,0
2,99,B,3,74.56966363,0
6,23,A,4,136.2397211,0
8,32,C,5,101.3038185,0
2,80,C,3,50.35898082,0.001535015
4,81,B,4,78.94034555,0
5,24,C,3,20.83011757,0
10,32,A,4,75.60595369,0.000220755
8,94,C,5,86.06619627,0
10,62,A,5,71.87141228,0
5,85,C,4,67.79924032,0.002662266
2,37,C,5,55.568592,5.89E-05
9,29,B,1,14.43728253,0
2,66,C,5,113.5502604,0.002134165
5,25,A,3,58.4692201,0
9,18,B,2,70.64884162,0.001415442
10,53,A,5,58.78127806,0.008306891
5,22,C,4,22.87428151,0
3,25,A,1,15.99749165,0
10,79,A,2,52.92394202,0.001279796
1,34,B,4,67.2243358,0.006352243
3,75,B,5,94.44185902,0
10,23,A,4,79.5282075,0.009540487
5,46,C,4,32.23901455,0.00499158
4,73,A,5,83.46755367,0
3,62,C,2,78.03441215,0.009942944
3,3,A,4,46.29153793,0.005394222
6,99,A,1,16.02815721,0.012883448
6,20,A,5,106.2254598,0.005615782
6,43,C,4,75.21837661,0
9,71,C,3,64.50888233,0
2,51,C,1,15.39684502,0
10,41,A,5,70.33496715,0
6,33,B,1,12.73868868,0
6,90,C,1,15.18817258,0
10,58,C,5,57.45885657,0.00091909
6,47,C,1,19.0240767,0
8,7,B,1,16.54261897,0
2,75,C,1,17.86630055,0
3,68,A,5,35.50939685,0.005235081
10,12,C,2,49.98250566,0.015660323
8,57,A,3,57.78491382,0
8,85,B,2,82.84257476,0
8,41,A,4,70.80333014,0.003877991
5,87,A,3,49.96695983,0.001565927
8,89,A,1,15.51900948,0.004482787
7,8,A,4,21.63833026,0.00352429
2,92,A,3,55.93350097,0
8,31,B,4,78.04773543,0
3,71,A,5,47.67436065,0
8,95,A,2,61.45814139,0.014596816
3,5,A,5,49.10917981,0
9,66,C,1,12.92892563,0
8,33,B,1,15.33600222,0
10,85,A,2,89.64980899,0
5,14,C,3,24.25912874,0.002772326
10,8,A,3,62.4174043,0.002655203
7,21,B,5,44.5329232,0.009348589
6,48,A,4,82.04496607,0
2,49,B,4,59.45337876,0
7,82,B,3,58.13440148,0
5,79,C,2,31.63931087,0.000575303
9,27,A,4,82.63740414,0
2,83,C,1,11.97921746,0.00787277
1,77,C,5,74.42943546,0.001351635
9,32,A,2,43.07803586,0
6,58,A,5,84.51167093,0
10,44,B,4,35.12817396,0
4,75,B,1,12.50751471,0
9,92,C,1,13.12930768,0
3,50,B,5,50.95137753,0
1,54,A,3,68.04728993,0
3,4,A,4,63.75548178,0.001143964
6,29,B,5,66.01447451,0
9,65,C,4,76.55558622,0.001618954
8,82,C,2,52.85795439,0.002183869
2,63,B,3,80.85477898,0
3,94,A,1,23.17362671,0
10,89,B,2,71.87416748,1
10,96,C,3,51.41304325,0
4,32,C,4,114.9589545,0
4,49,A,3,80.59897948,0
8,33,B,2,76.05516734,0.006170233
1,87,C,2,73.14770452,0.002428808
2,39,A,1,13.83876931,0.000574434
7,15,A,3,44.70808857,0
9,34,A,4,85.54401974,0.000787522
3,69,B,4,54.69528166,0.008760545
3,11,A,5,48.33732271,0.003172226
10,74,C,5,84.73471593,0
3,84,B,4,53.24681933,0.009016119
1,71,B,2,68.94774577,0
7,53,B,5,53.39042829,0
8,68,A,4,74.5889806,0
5,48,C,4,55.8751147,0
8,78,C,2,50.38538894,0.009229351
5,3,B,3,53.39990859,0.00029799
8,62,A,5,59.52068854,0.005981325
8,63,B,5,77.68488209,0.004245658
1,94,A,4,90.53514896,0.00565217
8,92,A,5,80.51910932,0.000372534
10,15,B,5,77.76951124,0.002836246
3,32,C,2,79.70665663,0.007948189
7,1,B,2,70.49318845,0
7,33,A,5,34.13571817,0
5,43,B,5,54.52161377,0
10,67,A,2,64.78631678,0.0043433
7,55,C,3,51.90768129,0
3,34,C,5,49.68667393,0
3,33,B,1,17.972735,0.007050882
2,85,C,5,118.8999181,0.010363039
10,10,C,3,67.09220434,0
3,81,B,5,51.21989578,0
1,67,A,1,12.39372386,0.009222007
2,71,A,4,63.0894806,0
4,66,B,2,98.02652104,0.003557092
4,29,C,2,87.46662689,0
7,14,C,2,47.95383088,0
4,95,C,1,17.34689743,0
9,93,C,4,104.3478873,0
5,37,B,1,13.55485261,0.004229631
1,23,B,3,89.33476805,0.009752563
10,36,A,5,82.33182156,0.000384714
9,48,A,5,102.5528645,0.003493709
3,21,A,4,49.25563227,0
10,43,C,3,66.98173083,0.008829004
1,89,C,3,75.00063104,0.001089142
2,77,B,4,86.32042404,0.011697067
9,11,A,4,91.40387046,0
4,23,C,3,122.5408809,0.003016919
7,45,A,3,40.07120809,0.003702389
8,71,A,5,71.25995703,0.001804893
8,89,C,5,100.3683198,0.006217331
6,64,A,5,138.2035719,0.00715627
5,74,B,5,32.18302765,0
5,62,C,4,46.80190951,0
2,78,C,2,51.45052514,0.007030542
8,56,C,1,15.33496968,0
10,22,C,4,35.95939869,0
5,49,B,3,53.71143637,0
6,48,C,2,66.69118863,0.005727319
5,70,B,4,42.7374559,0.001445456
4,58,A,4,64.56243727,0.00121807
8,17,A,1,14.38755752,0
3,30,B,2,54.67906076,0
6,45,B,2,97.19149999,0
3,19,B,5,58.65707254,0.008029457
9,51,B,4,85.57547169,0
2,20,C,3,76.96603192,0.005398968
9,21,A,5,94.21396284,0
2,96,B,5,38.60743844,0
9,89,A,3,93.10318155,0
5,92,B,3,63.19803265,0
7,6,A,4,27.64848701,0.005384409
7,58,B,2,29.5482679,0.003133181
1,85,C,1,17.45896702,0.000984392
10,79,A,4,56.74508207,0
8,22,A,4,56.96289377,0
5,62,B,1,13.61390107,0.001355985
1,63,A,2,63.70620859,0
3,16,A,3,59.57031957,0.012143263
1,64,A,2,28.22763853,0
1,6,C,5,34.7212328,0.005974233
4,14,B,5,86.31061947,0
8,78,C,3,61.9422678,0.006393623
4,62,A,5,99.77043911,0
6,90,A,1,19.75118816,0.000578788
5,33,A,4,14.91439404,0
7,97,B,4,75.80266369,0
9,29,B,3,83.96987596,0
5,34,A,3,54.09339927,0
7,88,C,3,81.00655298,0
8,20,B,5,87.18008907,0
10,14,A,1,24.7975935,0.001453542
8,91,B,2,64.0185045,0.011683769
7,60,B,5,67.05440481,0
1,39,A,3,77.19530472,0.009445279
2,8,A,3,51.01951661,0.005189674
9,40,A,4,112.7662151,0
5,82,B,3,65.43152606,0
10,78,A,2,59.32398033,0.002284826
2,51,C,4,80.28177851,0.001895802
10,88,B,1,11.94045669,0.008882228
4,62,C,4,80.45641649,0
1,13,C,3,52.80796184,0
7,62,A,2,52.14517766,0.007021154
8,11,A,2,48.7026365,0
7,47,B,1,25.28236944,0
8,89,A,3,64.72587482,0.007600368
7,27,B,1,17.73474936,0
3,20,B,4,59.03318341,0.002373605
10,95,A,2,57.36188688,0
2,99,C,3,80.30601918,0
4,6,C,3,98.75338082,0
9,51,A,3,10.77593869,0
3,16,B,5,47.00550352,0
7,14,B,5,81.7715286,0.004481645
2,94,B,1,10.91655151,0
4,36,B,3,112.638335,0.003489067
9,20,B,3,79.87412248,0.001414928
7,21,B,2,73.97280157,0.003445676
10,58,A,3,63.99841715,0
7,8,B,3,56.39962348,0.00233073
8,1,C,2,72.39557731,0
6,40,B,5,100.3836402,0.006485108
3,2,C,5,55.33197928,0
4,20,B,2,88.02351797,0.001587682
2,9,A,2,53.43588906,0
6,66,C,1,14.77856449,0
4,64,A,2,125.2788388,0.00361062
1,89,C,2,70.63395241,0.003592674
5,30,A,3,59.68851359,0.005034064
7,89,A,2,26.11828637,0.002651631
6,65,A,3,93.7373593,0
2,47,C,5,14.60409662,0
4,76,A,2,90.66289945,0
1,15,C,4,68.364747,0
10,57,C,1,14.06218457,0
8,0,C,3,93.76761235,0.002295017
4,63,B,2,78.07149989,0
7,92,A,1,16.06524372,0
4,52,C,1,15.45680261,0
3,75,B,1,15.04129668,0.002847464
6,68,A,5,75.34297683,0.002546038
9,79,C,5,27.39909996,0
10,32,C,2,27.25072808,0
4,49,A,5,32.0547721,0.002454654
7,65,A,4,58.49861387,0
8,81,B,2,60.88853407,0
6,7,B,4,86.08393945,0.008332595
4,40,B,2,59.52593288,0.008340562
10,63,A,2,58.19203966,0
8,54,A,3,75.0236109,0
7,66,B,1,19.69065029,0.002122101
9,72,A,3,105.8633239,0
10,38,B,4,59.24022679,0.004288994
10,47,A,5,33.80711037,0.002878853
8,96,C,2,49.55444559,0.00649256
4,61,B,3,73.27660746,0
8,73,B,2,60.69318755,0.000348344
2,71,B,5,71.11958519,0
3,27,B,3,57.49792662,0.003466196
6,25,A,1,16.06884108,0.000666971
8,13,B,4,80.77896175,0.006494741
4,50,C,2,49.08092155,0.010276483
1,4,A,3,57.29700295,0.004102124
2,61,A,3,65.01350985,0
4,12,B,1,14.44161143,0.001248504
7,26,C,2,33.17849873,0
5,85,A,5,38.51096297,0.003687874
7,67,C,4,57.18368897,0
9,49,B,5,41.79174259,0
4,0,A,3,109.9674238,0.002007098
6,10,A,3,38.25209987,0
4,42,C,1,8.948578526,0.004439723
2,91,B,1,17.54009436,0
2,14,C,5,93.50145061,0.323310675
9,71,C,4,74.20296629,0
10,42,C,4,64.38633556,0
10,97,A,2,37.69839245,0
2,19,C,1,14.19703131,0.003602708
8,77,B,2,84.02801062,0.00596174
10,20,A,5,55.41656834,0.004534046
8,3,A,4,58.4692103,0.004026462
1,3,C,3,75.70747944,0
4,15,C,2,84.37474608,0.000873198
1,52,C,5,32.58762272,0
5,52,C,4,43.02438886,0.002963508
10,33,A,2,55.4599397,0
3,52,A,2,59.99242372,0.001269702
2,91,A,4,12.19295613,0
10,32,A,1,20.64922408,0
9,73,A,3,77.38734255,0
7,20,B,5,44.65514744,0.005847964
7,51,C,3,58.89466869,0.000480896
5,7,C,2,28.64571736,0.002735687
4,38,A,2,85.05032029,0.000307862
6,55,A,3,113.7163656,0
4,57,A,3,77.32781815,0.000416474
8,95,B,4,79.30206743,0.007172241
9,37,A,1,17.36577638,0
10,74,B,2,73.17928993,0.00495603
4,43,C,4,89.12265105,0
3,34,B,5,68.66049924,0.005023776
5,61,C,4,44.92753064,0.002338306
8,25,A,2,52.72650924,0.001150867
1,24,C,4,72.86174737,0.004417739
4,21,A,2,88.2313033,0
10,99,A,2,28.8046793,0
3,37,B,3,62.35413375,0
3,87,C,2,58.30534219,0
10,74,A,2,67.31802037,0
3,31,A,2,42.73547525,0.00660296
5,43,A,5,21.20595302,0
5,24,B,2,71.16623113,0.002446069
3,75,A,5,91.11180848,0.002085764
1,93,B,4,63.39196642,0
8,41,A,5,78.03677801,0.002056404
3,91,C,4,58.4938908,0.004702246
8,1,C,3,79.61517132,0.000120034
2,24,C,3,87.38943858,0.000253805
10,14,B,3,56.6996875,0
